"","CE","AN","SURG","perfil"
"fs2001",3.92228327228327,4.93974358974359,5.51282051282051,"risky"
"fs2002",5.49199226699227,3.57692307692308,4.55128205128205,"easy"
"fs2003",4.19407814407814,4.52179487179487,4.84615384615385,"risky"
"fs2004",5.11731971731972,4.34230769230769,4.7948717948718,"intense"
"fs2005",4.46229141229141,4.30606060606061,4.48717948717949,"disengaged"
"fs2006",5.46605616605617,4.47051282051282,4.55128205128205,"intense"
"fs2007",5.66311558811559,4.33076923076923,5.01282051282051,"intense"
"fs2008",4.03441188441188,4.48461538461538,5.07692307692308,"risky"
"fs2009",4.29079161579162,4.02051282051282,4.48717948717949,"disengaged"
"fs2010",4.71199633699634,4.64102564102564,4.88461538461539,"intense"
"fs2011",5.03856328856329,3.98333333333333,5.52350427350427,"easy"
"fs2012",4.51144688644689,4.87435897435897,5.23076923076923,"risky"
"fs2013",4.16333943833944,4.36538461538461,4.38461538461538,"risky"
"fs2014",4.46685999185999,4.74230769230769,4.82051282051282,"risky"
"fs2015",4.47615995115995,4.1,4.96153846153846,"disengaged"
"fs2016",4.95594220594221,3.79615384615385,4.19230769230769,"easy"
"fs2017",5.56288156288156,3.81025641025641,4.46153846153846,"easy"
"fs2018",5.22358567358567,3.92051282051282,4.58974358974359,"easy"
"fs2019",4.55763125763126,4.06410256410256,4.24358974358974,"disengaged"
"fs2020",4.83474765974766,4.59230769230769,4.85897435897436,"intense"
"fs2021",4.44216524216524,3.90769230769231,5.35897435897436,"disengaged"
"fs2022",4.53640618640619,4.36410256410256,4.71153846153846,"risky"
"fs2023",5.02540792540792,4.21808080808081,4.61858974358974,"easy"
"fs2024",4.60316442816443,4.22179487179487,4.26923076923077,"disengaged"
"fs2025",4.72785177785178,3.95769230769231,4.15384615384615,"easy"
"fs2026",4.58539886039886,4.00617715617716,4.30555555555556,"disengaged"
"fs2027",5.17952787952788,3.50011655011655,4.28205128205128,"easy"
"fs2028",4.25442612942613,4.5474358974359,4.4551282051282,"risky"
"fs2029",4.6744301994302,4.45128205128205,4.53311965811966,"intense"
"fs2030",4.4193426943427,4.32948717948718,4.66666666666667,"risky"
"fs2031",4.65736670736671,4.16666666666667,4.24358974358974,"easy"
"fs2032",4.45136345136345,4.38205128205128,4.1025641025641,"risky"
"fs2033",4.66552706552707,3.88717948717949,4.61538461538462,"easy"
"fs2034",4.69119861619862,4.74102564102564,4.97435897435898,"intense"
"fs2035",4.78188848188848,3.76794871794872,4.8974358974359,"easy"
"fs2036",4.56476393976394,4.34358974358974,4.67948717948718,"risky"
