"","orig1","elab1","orig2","flui2","elab2","flex2","orig3","flui3","elab3","flex3","numero"
"1",5,1,40,10,11,6,45,10,11,9,2004
"2",5,3,31,8,3,7,29,6,1,6,2002
"3",NA,0,39,8,7,6,39,8,7,6,2005
"4",5,1,37,9,12,8,4,3,3,2,2007
"5",NA,6,40,10,9,8,43,9,1,6,2008
"6",5,0,42,10,7,8,19,6,5,5,2009
"7",5,2,23,9,16,7,30,6,13,5,2010
"8",NA,2,42,10,8,10,13,4,3,4,2012
"9",5,2,35,7,3,4,10,6,1,2,2014
"10",5,0,39,10,1,8,20,4,4,4,2011
"11",5,3,35,8,18,7,35,8,13,5,2015
"12",5,3,37,10,17,9,32,10,10,10,2016
"13",5,2,29,6,3,6,35,7,2,6,2037
"14",5,2,8,4,3,4,24,6,6,5,2041
"15",5,0,40,8,1,8,34,7,6,7,2040
"16",5,2,19,4,2,4,19,5,5,5,2039
"17",5,2,13,3,3,3,10,2,4,2,2038
"18",NA,0,18,6,1,6,34,7,1,7,2017
"19",5,1,49,10,9,8,24,6,6,4,2020
"20",5,3,42,10,11,9,NA,NA,2,12,2019
"21",5,0,41,10,4,8,45,9,1,8,2021
"22",5,1,35,10,1,10,50,11,5,6,2044
"23",5,2,49,10,2,10,29,6,0,6,2024
"24",5,2,44,10,8,9,39,10,10,5,2022
"25",5,1,50,10,3,9,15,3,0,2,2023
"26",5,1,21,7,3,6,41,9,0,8,2027
"27",5,3,21,6,9,6,NA,NA,3,14,2028
"28",5,4,11,5,10,5,19,6,9,6,2029
"29",5,2,23,6,7,4,19,4,3,5,2026
"30",5,4,29,8,12,7,24,5,6,2,2025
"31",NA,3,39,10,14,9,33,7,9,4,2030
"32",5,3,42,10,10,10,NA,NA,NA,11,2035
"33",5,4,13,4,4,4,27,6,4,3,2031
"34",5,3,36,10,12,8,69,NA,8,11,2032
"35",5,4,43,10,0,7,68,NA,1,13,2036
"36",5,4,32,9,6,7,42,10,9,8,2034
"37",5,2,40,10,6,8,30,7,4,7,2033
